APN,geo_url_1,geo_year_1,geo_url_2,geo_year_2,geo_url_3,geo_year_3,coastal_url_1,coastal_year_1,coastal_url_2,coastal_year_2,coastal_url_3,coastal_year_3
4449008008,https://publicaccess.ci.malibu.ca.us/onbase-portal/api/Document/ASwJhwQSmot2mgUSZResWBMgwljH4fr%C3%89FfWx%C3%89R7XzX8la2%C3%81d0YeJTj2H5LobVsHvvCnz%C3%81Xfq%C3%810pYWKvu9nPVRjw%3D/,2014,https://publicaccess.ci.malibu.ca.us/onbase-portal/api/Document/ARdY%C3%81YDTxA2fevfEmwwcCoRLgP0HZOYKhu1TPTqZE1DAy87sgklzK5mfuG41Pqx4Yk3wPToC%C3%89y1ECmFEy9VTS3A%3D/,2014,https://publicaccess.ci.malibu.ca.us/onbase-portal/api/Document/AUZ9wGItVRCtbqghBcFzqiWZOfP9Hzql7ahXE5cP6Ibq5S22jj62UoysaOzAeszxkXnrTdfcMvqKFstUBKe4ubg%3D/,2014,https://publicaccess.ci.malibu.ca.us/onbase-portal/api/Document/AWavhovlu%C3%89xjot2UrqqkgUR%C3%89h1MjjZQx7wj9WeiuHtf9f9nqfCjFEG7dRAoX6ibzEbJXp73K0bVm8iKSM8%C3%81smMo%3D/,2014,https://publicaccess.ci.malibu.ca.us/onbase-portal/api/Document/AUw5dXqqnVbYGKvzox4r2R92dwlybiKW8rm0fJqqxM21nOcnpB26o3GLNSjsBIgAdruDOxkQzxsYa2Ts403V%C3%8184%3D/,2013,https://publicaccess.ci.malibu.ca.us/onbase-portal/api/Document/AeVBSSZrntfOJEQn%C3%89VrJZmFWO7eePqVzJGbZgTnsWEIFYBbA0Pc6OroEP9ZH3D5bdAeQMiweM4pg10cVFqelc9g%3D/,2013
4449009010,https://publicaccess.ci.malibu.ca.us/onbase-portal/api/Document/AS2boac4i2v6e6YYRTt6RzgDjQBNL1d44gtx3AGOGqfOQD1XCGKhHpdQ%C3%81hpz881gi8ySqQs0rjO7IUFu3%C3%894Op9k%3D/,2016,https://publicaccess.ci.malibu.ca.us/onbase-portal/api/Document/AQ5IHESWUYv01uMFQfoLBSkWF6Rn47Fcp0ZRvSuEn3tGtzAr8h6Myfp0X7%C3%81SVKt9RmxsMcEgHzK5F2bLpRDshbk%3D/,2014,https://publicaccess.ci.malibu.ca.us/onbase-portal/api/Document/ASg9rifOgJaQiA4Q6%C3%8970UQq%C3%81FASqgbO15nt6SPGuUwOvfdn69h%C3%89RjoIMKbHv5ZG1AEu34a4%C3%89GXva7n7Z7n5rvkk%3D/,2013,,,,,,
4449009012,https://publicaccess.ci.malibu.ca.us/onbase-portal/api/Document/AZTEWdXND6yPJ8yYRXzFvNMrIER97gui2f6vR6EXPt%C3%81Ag2Zt4x7zcvxGey5B%C3%891qA%C3%89VpO2eBUjFoCPZQVrhr0iEk%3D/,2024,https://publicaccess.ci.malibu.ca.us/onbase-portal/api/Document/AZRNAHZgwZ0Oa1zQSLoZIUVqcjfZn1CI%C3%89BrY9AQSgLpaO5BJWhr2fC0bvxAr5ZWYmSSXiMu%C3%89i2lhlmmzm9b%C3%81tzc%3D/,2018,https://publicaccess.ci.malibu.ca.us/onbase-portal/api/Document/AQLn8%C3%81ubqcrpqVOTRq0xdjIfQRXst0u9H%C3%81AfH6RVkRRlZzmIsXiRMVQ6gwdkWdAY%C3%89JmBeZN42l2o6xQgNL8xV58%3D/,2017,,,,,,
4449009013,https://publicaccess.ci.malibu.ca.us/onbase-portal/api/Document/AYvo8VyOX7WO8551%C3%818lmvQ4oTAsiv93QjY2wOMmMdvlmJsbtc1j0d1PGX4vyWHN%C3%81nxeKwhuD7OqWWxCZalP1dZA%3D/,2016,https://publicaccess.ci.malibu.ca.us/onbase-portal/api/Document/ATIwnOhqBtd%C3%81rOTk7sSNsrLWNitdd7d9E%C3%81XC5qIXNksqS3d4QmAmQmq0CdGO3bjjEn7HGMKWbd7d04A%C3%89EjJRIsw%3D/,2016,https://publicaccess.ci.malibu.ca.us/onbase-portal/api/Document/AXgXomTV7IgbZI1v%C3%89HuY2F3KQ6d%C3%896gQdt9BledM5YIQXzi2LuMbsdE%C3%89%C3%811QuBdaQaZO0m%C3%89w2qWzK6UVOeUwbBJek%3D/,2016,,,,,,
4449010009,https://publicaccess.ci.malibu.ca.us/onbase-portal/api/Document/ATlwvLUCRyNFgpMlZlfi%C3%89ccniJJqodjs6FjehuvAmtkctvA6GHWMQbLHksI%C3%81JoGloN1u6vbbStU5NArJbRgMYi8%3D/,1995,https://publicaccess.ci.malibu.ca.us/onbase-portal/api/Document/Adv1WsDchK%C3%81aCn4t99SIBZDfcLcxuxPZPI1k9YOhNeLkYt7BlfvnrN%C3%81Tf%C3%81ZJz%C3%810PlQeGSNWKzOUkmNNKYD5AirQ%3D/,1994,https://publicaccess.ci.malibu.ca.us/onbase-portal/api/Document/AQg6r%C3%81T331l0NW06Opuwwrb2Xf7imfyI%C3%81kizr1hgdAiEm%C3%814Ekwjr63nkDGrUIzDdO6GUhhv%C3%81JqLYPmpM8yK8ieo%3D/,1966,,,,,,
4449010010,https://publicaccess.ci.malibu.ca.us/onbase-portal/api/Document/AanMnWVRct0U%C3%89%C3%89xlLLV6vovWxne2aynjGElQro2QjRXGn%C3%8109nsZ94CiSNlrFs9Vma9VFKaLHCrwDf1qlfHZqCAQ%3D/,1994,https://publicaccess.ci.malibu.ca.us/onbase-portal/api/Document/AbeTNjTgTJ29lSU2XFIB4%C3%89nS2bgsb0pAl9tuJM4bmRc7fbHmv9eWxZGsNpn4PZNgcb0GuWozt92dxXEGZsEzJkM%3D/,1993,https://publicaccess.ci.malibu.ca.us/onbase-portal/api/Document/AXrdowW2SAG%C3%89J5DuGVeD0uWpoOAmWmly4W0Eo2%C3%89rHFtBQJO8RY42PpJDxSPGVJoceMCpDUG8fwufwDkyQgmlUtQ%3D/,1993,,,,,,
4449012001,https://publicaccess.ci.malibu.ca.us/onbase-portal/api/Document/AYeepqZo00BxUvw2uLWTgyWr10xRUml239y8Ltu6aMxOSERI1I7XRq3XoISppyQgy1tA%C3%818QDNJ4kwi%C3%89pEglyOgc%3D/,1994,,,,,,,,,,
4449012003,https://publicaccess.ci.malibu.ca.us/onbase-portal/api/Document/AWXIqsXZbFZZ86U5D0cfisy7hkYzE50JxbGp4O%C3%89aDC%C3%8921hwlVzvUJqNeHFHq8GLiQMTq06jxc3pRFarLCcDXFBA%3D/,2005,https://publicaccess.ci.malibu.ca.us/onbase-portal/api/Document/AbsPStITh6ft4JyXagm5GwT3Q2f%C3%89CNKjcj%C3%81AypR0vUA2jvHLfPBZRquPPMv8ayOA4131Zq3aRjxBeuCY75EbPbM%3D/,1995,https://publicaccess.ci.malibu.ca.us/onbase-portal/api/Document/AS15qOMAfHPM9KDL8KZ3D%C3%89ARlrGgV%C3%89cVlCyS6E1WuT1oL4mCQAOSgRUfHcZSRZUNyuwQ6u6tUgp5LZZoEZ6aTq8%3D/,1995,,,,,,
4449012004,https://publicaccess.ci.malibu.ca.us/onbase-portal/api/Document/AefHtGPfsrcBveQKHM1svx76bLVoZcW2rT2FM%C3%81xETNmGIhsWj%C3%89CIXNBUWLPlaP9iFLyRESbxc2xGDk7%C3%81Z1O5ZS0%3D/,1996,https://publicaccess.ci.malibu.ca.us/onbase-portal/api/Document/AVkSx%C3%812K8HLQAG5p3GbU97C3bNG7M1ZYKRxTwH8FvgPK7ROQDIHyNdhVacm1sNLDA89snr2x%C3%81VrO4JzHHPoYoB0%3D/,1996,https://publicaccess.ci.malibu.ca.us/onbase-portal/api/Document/AUoryCrl1mXXNshtqEjBvEUcko%C3%898gC%C3%81XLI2poq%C3%81hgtuM2GmHcBUONqD5i5e9gt%C3%81fdQhsdhcvtuIHfo02BFlK4IA%3D/,1995,,,,,,
4449013003,https://publicaccess.ci.malibu.ca.us/onbase-portal/api/Document/AZs3G96Z86KWRj0vJLwNQ0MYmt%C3%89LHXtbRPP%C3%81a4SoRHQWRbIh5MRrlj0r7JhTO6eSVo2ZElU5tNYFlUdJ6CDRYUg%3D/,2016,https://publicaccess.ci.malibu.ca.us/onbase-portal/api/Document/AeI48TjMUlxpuuWkFTUI4aw9Ar0z3Q4tjhhwk6Zu5njJSdicGk%C3%89wq2sbY8EyjvQ%C3%81UFwoawAErSWpMWH0mTp06MY%3D/,2011,https://publicaccess.ci.malibu.ca.us/onbase-portal/api/Document/AfGHLtBhdUSEm16ezlrS8Dxp52YeKarBVlFmfXQhLSc%C3%81m4oOH1GUxnRvxLTd8d5Ia6QkKdb%C3%89wA12Z%C3%89Yw0uRyjZM%3D/,2000,,,,,,
